SAMPLE	C0	C1	C2
X2d0a4d6a0245eddc55832f3567edc1b0	3856.50383400783	2837.02086209521	3477.67101534235
Xfa384aff1a21a428ddc61730d791ac07	905.023339482226	5058.90215744053	3736.25329215171
Xce653fac9fcd291555d86026cbbe73af	4421.76807807935	3059.13314077679	2666.73808434697
Xaa1b3ba6002fdc8b8b13bc722b2fe074	1355.96594501397	3854.80938956788	4713.24715081465
X4a34559af77fd876c74d98c1fd581aa2	776.7140942984	4428.34878361339	4602.36952080641
X4c20c40030741ca8a07e483e26a19e67	3759.26783569717	2537.46305168252	3924.42569219098
X99252e20f6fafaefaf3fadf51acc1ed2	3909.70993875526	4546.30376822312	1416.38503888462
X07e01fdcb86fd0ab6446d7f20038d4a1	3792.09215818657	3000.32389894046	3348.33225519016
X8bbd8072d4cd190553dfaa7aaa7b19d6	2853.25388990564	4806.13059727409	2138.47946952046
X0bc0ebe2508cfcb3e0c4853061e2c638	1450.67146772294	5945.34287796581	2163.3758027108
X6f5f07201e23cbc8659f078d29b36cac	5866.53830969117	1774.78558372401	2771.43745916962
X6a295c4f7db25ea5ad800d1d9df4cdfb	4638.92014088382	3262.66125609875	2216.24524641428
X5db3fb52bae7f0ca108b11eac258a5ea	2610.87921403083	3991.6590426372	3331.76667565592
X0d698cf8dde695f7a8cdfad41fad55f1	1574.04512924763	5971.71032166708	2012.37722437985
X64875728bb1ba831bf8b886cbb20235b	5969.11371563377	1525.58256464804	2964.64540106203
X419386e8a743aeb75391e63f78626066	1634.23646949107	5171.92431665903	2894.1082747943
Xd14fb91b737e78e07ee6622e56539dcd	6466.12991653317	2880.40457429452	888.412764891795
X111cb9fffc9fc55d838d097af1e3b727	2993.11679935184	3891.27705879765	3077.99820145669
Xbebf2ac740744d14a9c3196582773a65	1235.01933149521	4784.07339474799	3738.38767164339
X55bb7aa07ad1c420285fa296f511e9fa	3658.41892925529	3442.03790154325	2959.04421593373
X7354734a2b7779fc172b8fa7062a7f3e	880.678490677601	5522.15067779459	3215.30969897944
X31dc99ac3198e9b0437786a6f2edc50d	3972.32706928435	2028.31969466898	4315.77287983881
X52f703a2b6e5dab5d2ebebc819a4573e	819.609625912564	5378.56799384741	3443.51272874958
Xe3a92c49455bf11904afa9c1d9661350	887.141165862465	4223.55921999113	4735.72542725962
Xfab3b2d8b666d807064f44cf2671b1af	1224.49777345591	4144.74801191592	4500.25056064306
X1cb9577d90b2a15e59959f7f911e6689	232.017517922028	6215.89136253091	3030.62706293798
X7705345d3d9843faab494c3b8319a90a	1756.85841446122	3553.43218522193	4677.63597859055
X051ff3f6fc50a9899007b53b374ff36b	4344.49605634143	849.776808523673	5339.34796101429
Xf00ad8a7026f9f410e9a4391d1787f46	3920.84454420369	2720.45252377379	3552.13469830325
X046d63897cffd07093069e1986db4014	2297.81730079854	3959.86127436452	3673.64981550396
X52d32af145d65a9fd0a8f433dce1baa0	5155.32972664763	1773.52513874645	3464.67660318328
X872dded2f52f2be7d52eb034e273aba4	3182.65592624682	3214.90886705677	3688.8217295759
X5baf5f197178a266431ca78d774ff73b	2896.76631114182	4095.41340978024	2931.7186568115
X16772d239c75dacdd83f312235b63536	6991.82208535399	542.216909333748	3126.01110679612
Xc59f11474e4e288c94b16010682b8f96	1457.16731004548	6476.11051615959	1533.05549374274
X8bbe55f701b2cb1741c3c8d3fc3e5f6f	1603.33303564945	6169.0716386279	1751.86058355483
Xa755249e1936fab43234f6197f086d49	1661.40797834425	5758.64742315282	2177.89318175924
Xd9e044356ada439e9bb8b532db358d22	6593.03089269777	423.118084343765	3653.91519646411
