	P0 Centroid	P1 Centroid	P2 Centroid
RCC25-97	0.11851789678854614	2.3672971425767626	2.4771459756051155
RCC25-142	2.66037192405028	1.510265617102387	0.898804155613462
RCC25-154	4.777929357785013	3.267330718618126	2.4503232498728122
RCC25-265	3.7599969544227925	3.1265467046151767	1.4469802184181288
RCC25-372	1.2668579607237365	1.156170124410955	1.7773449639223726
RCC25-406	1.6593252703954942	1.3669426934947269	1.9633312179925941
RCC25-504	1.2745339881834337	1.7595174343450481	1.3381632375078534
RCC25-526	2.5597839103399154	2.545659928486344	1.1316846709142885
RCC25-541	2.2638358024543623	3.3547035939587095	2.430417745143641
RCC25-567	2.1430502648406886	1.8508363475071434	0.4816547681527707
RCC25-594	3.9893003747860623	2.528423086882074	1.6162035365846583
RCC25-664	2.327306590933279	1.0009637479949545	1.151036762238931
RCC25-684	1.2331578836281147	2.0469448211151895	1.448738440880839
RCC25-709	2.4572299921790814	1.4834448072868964	0.7185552622045246
RCC25-715	2.4537155642079727	1.215811072155101	1.1696199579693471
RCC25-754	1.2960746528260714	2.2689737601270585	1.9725326913072405
RCC25-836	1.776098716668399	0.984836564472384	1.2055161767406655
RCC25-874	1.3933285409613632	1.0380867973008472	1.8497078680640784
RCC25-922	3.4242831968177896	1.461985735227759	1.784985906148221
RCC25-931	1.1180267335799687	1.974988288800244	2.5095245040032244
RCC25-941	1.1731353509640154	1.596851507252791	1.784635543994863
RCC25-944	1.8199144200152795	2.6744451876597566	1.5169409113760282
RCC25-947	1.3437795559785444	1.80074914824311	1.2487306036722068
RCC25-952	2.5044858727012316	1.404242026617318	0.7132168906069912
RCC25-965	1.5301552590022103	1.315271328234652	1.198922419678029
RCC25-988	2.0346930319761976	1.7758148587397025	1.0637578056553396
RCC25-996	1.5429970711601835	0.9569345000096048	1.599693125963175
RCC25-1024	1.8167677510103146	1.0210093433632326	1.314687880477098
RCC25-1040	1.71870481196464	1.771281270119356	0.8816010068085753
RCC25-1044	2.5560284972042773	1.026102884961152	1.4216050865895729
RCC25-1048	2.9855962712440722	2.5556018827748535	1.0651988727407762
RCC25-64	3.2867733923925164	2.944320073294692	1.8528299623205724
RCC25-343	2.4374784098472264	1.0701322686761148	0.8823388190452212
RCC25-367	3.1624000864247614	1.6102874115009038	0.9003134423044097
RCC25-380	2.547454973910808	1.0727935444241556	1.948241764333518
RCC25-485	1.2988995882455616	2.818293048666448	2.257847394601756
RCC25-728	3.2422327369617254	5.557187757706189	5.720431403869466
RCC25-924	1.6582319110130945	1.3598484078949937	1.0990976535563803
RCC10-7	1.508039945611023	1.6415869149361635	1.0801782311622452
RCC10-76	2.122922475797508	1.5379352044042256	0.506332332061599
RCC10-114	1.0950593620916824	2.026762366816499	1.5398403786034245
RCC10-145	1.8598805507533138	2.2590208136936427	1.0230217427621617
RCC10-147	4.553808886507047	3.0183566697435125	2.0039997600201893
RCC10-150	2.1345127565716133	3.892341938589838	3.0444074303830893
RCC10-196	1.445873390805602	1.6471929211908183	1.158022055458651
RCC10-8	2.1901672967630508	0.9102596088419813	1.3413405959621354
RCC10-11	5.015625290179691	2.8486893541681937	4.450625346257459
RCC10-20	1.4427301042981648	1.5918812281668917	2.8007523389865026
RCC10-25	2.304543819499195	1.696454542437682	0.2860869291951239
RCC10-28	2.9346450750310398	1.3627175766726283	1.1252291924984124
RCC10-35	2.719618602246819	2.9661949742408327	1.3743525776271224
RCC10-36	2.2161200807731145	0.5287822349107355	1.8898932494129077
RCC10-44	5.287438090791422	3.213818107138941	3.0244894456235554
RCC10-47	2.937410337812782	1.1491076206597648	1.4336040683791094
RCC10-49	2.0474964276084235	1.8943379670192733	0.7138826496788452
RCC10-53	1.7541396212319909	1.8210151805572106	3.1128158457758253
RCC10-57	2.731258249351103	1.7946430334339154	0.29192635756006824
RCC10-65	1.1959146740274385	1.5733319405029753	2.5652595608741495
RCC10-68	1.9297841696333067	1.291965886646969	0.7883654887858933
RCC10-72	1.501276043987063	2.5103051209811604	3.532169886504607
RCC10-84	1.6906275345254558	0.9051322744328032	1.5369485248387502
RCC10-90	1.3527947475568305	1.4738217793552026	2.3468021624970685
RCC10-92	2.547290868002913	1.2845591740798128	0.6067664981694468
RCC10-93	3.7369177737438193	2.4891227254888006	1.2015450501645684
RCC10-97	2.12302189419577	0.5391094538985419	1.368992475216558
RCC10-98	3.0626376412997622	0.9256695653635584	1.6374630862618158
RCC10-99	1.7615490475966158	1.4602719071470627	0.8894277153171309
RCC10-103	2.034786732277032	1.2390146224719012	0.8099029620998723
RCC10-110	2.8621913285403258	2.277942947429413	0.7693130666384539
RCC10-111	2.0479535072997934	2.2890964458420786	1.666079973172034
RCC10-113	1.887965348483534	2.415840622495048	1.146985503568781
RCC10-116	2.519718488843257	2.302625555430794	0.6896489123973794
RCC10-125	4.3885102146138175	2.1944991296973435	2.4077902092009347
RCC10-136	0.47668164829933934	2.5791356339716645	2.9786256941508933
RCC10-137	1.9524715272442248	2.137451185055976	0.9068052869232496
RCC10-141	0.7145293731532815	2.9676717162988235	2.8932193099890906
RCC10-154	3.302123467692424	2.59690977375866	0.8918814631147476
RCC10-163	1.4820764460328542	2.665310755628112	3.631405254883314
RCC10-165	2.2705293535959874	3.4096115825713897	4.442496028957925
