row_id	Combined.Q.value	Q.value.Significant.Count	Combined.P.value	P.value.Significant.Count	P.value.Significant..Up..Count	P.value.Significant..Down..Count	Mean.Statistic	RENCA.CTL.LAWSON..Gene..Statistic.Value	EMT6.CTL.LAWSON..Gene..Statistic.Value	B16.CTL.LAWSON..Gene..Statistic.Value	X4T1.CTL.LAWSON..Gene..Statistic.Value	CT26.CTL.LAWSON..Gene..Statistic.Value	MC38.CTL.LAWSON..Gene..Statistic.Value	B16.CTL.KEARNEY..Gene..Statistic.Value	MC38.CTL.KEARNEY..Gene..Statistic.Value	B16.CTL.PRFKO.KEARNEY..Gene..Statistic.Value	MDAMB231.CART.HER2.KEARNEY..Gene..Statistic.Value	MC38.NK.KEARNEY..Gene..Statistic.Value	MC38.CTL.PD1.KEARNEY..Gene..Statistic.Value	MC38.CTL.IgG.KEARNEY..Gene..Statistic.Value	MART1.CTL.LIBA.VRED..Gene..Statistic.Value	MART1.CTL.LIBB.VRED..Gene..Statistic.Value	K562.NK1_1.PECH..Gene..Statistic.Value	K562.NK2_5.PECH..Gene..Statistic.Value	RENCA.CTL.LAWSON..Gene...log.P.value.	EMT6.CTL.LAWSON..Gene...log.P.value.	B16.CTL.LAWSON..Gene...log.P.value.	X4T1.CTL.LAWSON..Gene...log.P.value.	CT26.CTL.LAWSON..Gene...log.P.value.	MC38.CTL.LAWSON..Gene...log.P.value.	B16.CTL.KEARNEY..Gene...log.P.value.	MC38.CTL.KEARNEY..Gene...log.P.value.	B16.CTL.PRFKO.KEARNEY..Gene...log.P.value.	MDAMB231.CART.HER2.KEARNEY..Gene...log.P.value.	MC38.NK.KEARNEY..Gene...log.P.value.	MC38.CTL.PD1.KEARNEY..Gene...log.P.value.	MC38.CTL.IgG.KEARNEY..Gene...log.P.value.	MART1.CTL.LIBA.VRED..Gene...log.P.value.	MART1.CTL.LIBB.VRED..Gene...log.P.value.	K562.NK1_1.PECH..Gene...log.P.value.	K562.NK2_5.PECH..Gene...log.P.value.
CYB5R4	0.999999384236856	2	0.00358589922560226	4	4	0	0.941336356521779	3.37	3.25	0.41	1.63	0.18	0.66	-0.0397405160986033	-0.829255227404266	-0.54996992765371	0.965169341950254	1.53684202262224	3.5253272118656	2.3769173368568	-0.19255	-0.31843	-1.17020122496039	1.19860904369232	3.03223506772206	2.88154559372811	0.188131374025306	1.20814527474791	0.0883538683884202	0.64538725896924	0.0738858229874798	0.0768346086336623	0.384789788050038	0.3444125050064	0.308517059248998	3.10276471993676	0.854915942140483	0.291987239435058	0.355344809711506	0.164872442677719	1.3166258259959
ANKS3	0.999999599600342	1	0.00251888019892737	5	4	1	-0.0811589530067009	3.37	-1.13	-2.46	-0.49	2.51	3.17	-0.0763759535536564	-1.49225617836965	0.0423245183234357	-0.402603410926312	0.599769293956976	-1.16935656993184	-1.86971072044963	-1.0853	-0.97758	-1.11460436268682	1.19599118252358	3.03223506772206	0.566734005068548	1.8281106286203	0.273912100887467	1.84994624042167	3.52561576505475	0.0738858229874798	0.807001179237284	0.0892725763237164	0.0718582547769728	0.0695687394270297	0.515821783036754	0.99323629566121	0.69927411692518	0.568652321119701	0.0140589282401503	1.31799647180157
PET100	0.99999992494324	1	0.342777794356079	4	4	0	0.35080333113992	3.28	-1.37	0.07	1.85	1.38	1.44	0.230118100657266	-0.221118712997571	-0.650173742343251	-0.360250249649017	1.91660604080704	-1.33253027443835	-0.984967571699887	0.44219	0.31958	-0.697643772278797	0.651846811321206	2.88167210700029	0.718861631562034	0.0587509937148436	1.41500199230696	0.749478785552047	1.54332686088699	0.0738858229874798	0.0768346086336623	0.0892725763237164	0.0718582547769728	0.376110957947028	0.593268725483951	0.17918511028136	0.542845057513416	0.30727642729911	0.0821596196793116	1.63835582367711
ATXN7L3	1	4	1.42603071642086e-15	6	4	2	1.14820122499768	3.24	10.01	1.95	1.13	5.33	0.18	-1.17174363125915	2.12688066198827	-0.920943358225661	-0.195987435891449	1.7886078049916	1.46510599980396	1.15034938037601	2.3399	-0.038376	-4.80211306046883	-4.06225953635417	2.81596049678426	22.7130210550215	1.2592224404384	0.598418586050594	6.79682091648935	0.451621426925199	0.456925718941977	0.315775836293648	0.745191404602272	0.0718582547769728	0.352060415548761	0.355112761968405	0.384027515957567	1.84022232721275	0.0785424346202114	5.30172233481667	7.94541056302645
CARD10	0.999999236663221	0	0.0028699233303841	5	4	1	0.385637321048477	3.22	2.12	0.16	2.61	-0.74	1.54	0.00157917646937527	-1.31297313767366	0.0084223705770384	-2.0937977578029	1.86372736827191	1.65548577286024	0.146179105199249	0.90958	-1.017	-1.2498345285588	-1.26553391151835	2.79722380540313	1.51444450383237	0.0914078071371747	2.28370203325505	0.341778720610252	1.63382690800071	0.0738858229874798	0.807001179237284	0.0892725763237164	1.2186355722781	0.352060415548761	0.468920142823097	0.066331134583676	0.340740013591505	0.416381875141365	0.17159886369183	2.39076902587694
PSME2	0.999999873431475	2	0.0235625849726459	5	4	1	0.892314847167807	3.02	0.49	0.49	2.03	5.32	1.58	-0.427053995263242	0.246132067776219	0.0388625183544006	0.985374806472205	1.35673949028573	1.01346103232806	1.21135337644466	0.048762	0.25567	-0.143215485792307	-2.346733408753	2.49976517596141	0.0901164448865212	0.217506404146465	1.60592739694261	6.77699430286051	1.66517727546942	0.206046512664983	0.0768346086336623	0.0892725763237164	0.3444125050064	0.270422200189767	0.21342750457902	0.427703710353014	0.00833984682818652	0.229221603830852	0.0140589282401503	3.95422458439948
PKNOX1	1	1	0.00463667953546662	4	4	0	0.838048714897932	3.01	4.62	-1.07	0.88	2.54	1.36	-0.434397242259781	0.813624671108292	0.473298825432437	-1.63872761582791	0.122099775089151	0.39603392696592	0.869415332027619	-0.28857	-0.96311	1.57995138589434	1.97720909483478	2.48727589845934	5.22089389167693	0.557504117908951	0.383618454069155	1.88367466330499	1.48197997360295	0.206046512664983	0.315775836293648	0.0892725763237164	0.831301672474734	0.0133981022445509	0.0904169680566778	0.25954475565393	0.1612264453064	0.441975802262851	0.556816139895535	0.984426313050711
PTEN	1	0	0.362879951570594	5	4	1	0.684547052010726	2.94	0.61	2.15	0.04	0.91	1.52	0.261145895207828	0.565020236322471	0.818485532064158	0.328914915611317	0.970253799484246	0.178080189298205	1.15751993367324	0.14297	0.90607	-0.158224371457572	-1.70293624602155	2.39965834999442	0.114618782264599	1.46528961480191	0.0134065374479163	0.408889552780977	1.61558958152961	0.0738858229874798	0.315775836293648	0.294138409116567	0.3444125050064	0.102120063058631	0.0506217681246695	0.384027515957567	0.12432536708631	1.63729138909068	0.0821596196793116	2.928917521468
IFNAR1	1	3	2.37621437732144e-09	4	4	0	1.70529537624938	2.9	7.38	-0.12	3.99	11.52	-1.71	0.881513408298434	2.19113534024149	2.36692845010168	-1.48423721546007	0.181519281614291	1.34333352867929	-0.638943020549408	0.72086	-0.74636	-1.48314458693731	1.69741621025112	2.34907521203208	12.5818398823906	0.0153260219460934	4.42578492529241	30.1512769582017	1.16086495048743	0.0738858229874798	0.315775836293648	0.716478882602662	0.710248237290574	0.0133981022445509	0.355112761968405	0.0279390951855404	0.274268000312034	0.529751260174627	0.276172930647976	1.0915105718895
SURF1	1	0	0.00200534936026539	5	4	1	0.436822232242452	2.9	2.01	0.9	0.07	0.82	-0.72	1.41711263167828	-2.00675271459529	0.924742243611412	-2.0937977578029	1.40484962116446	0.817154746494844	-0.274917007932919	1.5317	1.4814	-1.58799265512193	-0.167521159374269	2.34213939099579	1.39508653711974	0.413795610578744	0.0134065374479163	0.36199887494032	0.796882468341853	0.410492257661444	0.807001179237284	0.328209754327189	1.2186355722781	0.270422200189767	0.21342750457902	0.0279390951855404	1.30732930084363	2.19238380297812	0.349885396792988	2.34852506580242
