	P0 Centroid	P1 Centroid	P2 Centroid	P3 Centroid
RCC25-490	2.040216185795307	1.6249804772851941	2.705599944286736	2.0976970823659675
RCC25-1053	1.1674875806305376	1.949910121659206	3.021391435970487	3.1042557658503385
RCC25-845	1.4401930033507806	1.9199152554143257	3.111444780040527	3.2554896618440177
RCC25-205	3.2499692056116376	3.0453537341992662	3.239159540864059	2.707821612600876
RCC25-184	2.0340086957323873	1.5689383405942638	3.308974203003101	2.4781710386476385
RCC25-350	2.2388109043626576	1.2904321480995358	3.393354216919072	1.8973086929464495
RCC25-18	3.778518499327187	3.837479103573289	5.074091263379713	4.848222988949932
RCC25-675	3.500722205837547	3.429544247669413	5.4036713828690885	4.483039698627947
RCC25-147	2.163481208993532	1.3576630879370928	3.1143696310583584	1.8039745729513246
RCC25-45	1.0348478737292572	2.089125284099179	1.8344193507420765	2.984490701629615
RCC25-146	1.3744968654967404	0.6978221637248253	2.7173616017428377	1.7693565274177896
RCC25-299	4.59894974577115	5.010703972239152	6.42377070786476	6.318756043783245
RCC25-110	1.3144047349987118	1.2611354073815555	1.8813419843888954	1.652374470362172
RCC25-608	1.468456967453192	2.1689892810113087	2.299903484208554	2.9271386937013006
RCC25-197	1.3384078696948047	0.8445423273710463	2.3955374208067735	1.5126334454960362
RCC25-559	2.87334232597167	1.7969920132786945	3.3503648856078367	0.6794821261787044
RCC25-117	2.22519135436244	2.0530555831904787	1.8831437026469542	1.7267696015844975
RCC25-30	2.751118034674348	3.4692769305586713	1.5458739810924016	3.7090481011473
RCC25-66	1.8026272628453808	1.9578243530912254	1.3759470213934033	2.0548894828286093
RCC25-202	2.1761824811649277	1.6560829788993585	2.2030357925460224	1.7693536246209893
RCC25-579	1.0457529576027795	0.8821106124078126	2.093572189824534	1.7271338320008947
RCC25-105	1.7887854654738558	1.4826461235674395	1.9082496530777004	1.5706233415154962
RCC25-515	0.8648590888975157	0.7647344434886236	2.9615919510536473	2.1834254649306373
RCC25-329	1.990355469424781	1.7444237924894295	1.7006899921878176	1.4947525885660093
RCC25-596	3.3450501764332796	2.2516705171201314	4.247469671170435	1.5977036686946577
RCC25-75	2.6142291084881966	2.3439629705788314	1.486652899174941	2.0363133926365182
RCC25-451	2.6250890455871208	3.183568830856597	1.084272515498769	3.28427140221609
RCC25-96	1.3892246357257296	0.6113436082222942	2.6775494172844523	1.3651454780718038
RCC25-201	1.1494547987391024	1.7324124583174791	2.1959127662694673	2.6182854207583137
RCC25-516	1.9881634001082387	2.190730093665554	2.1487235674684957	2.313640792274652
RCC25-217	2.3605559567951317	2.0954498624132842	2.4507851344198457	1.9691010084298604
RCC25-89	1.3742992719288896	0.8057482380511304	2.7770537457724536	1.5456298158311519
RCC25-86	1.4908898294058228	1.8185849789144373	2.902455096662621	2.6355823610215356
RCC25-39	4.575438002288526	3.614684206071838	3.875677189412626	2.3629897838511478
RCC25-242	1.964868463973046	1.5082438738480966	2.1249413861242576	1.8157114636237799
RCC25-216	6.6861365486279745	5.586198151241917	6.162161467882295	4.222242942098115
RCC25-575	2.4750146310259713	1.8007657290742534	2.2760943333769053	1.2648168151780248
RCC25-426	4.217249174414916	4.376457118807887	1.9221548059558282	3.8935983131696115
RCC25-340	4.587231655450521	4.225650714749143	3.3483113357108	3.3733809906563024
RCC25-9	1.0553046254439182	1.5139790052214608	1.6555231322388502	2.1477194432937456
RCC25-228	1.0821525815152624	1.3120755127884585	1.8787090321601319	1.9576894512533538
RCC25-279	4.596130018436681	4.222426694235047	3.0425612540090965	3.1783957452559273
RCC25-398	1.026124371498638	0.7769925939064186	2.759984377085987	2.1458284358069477
RCC25-20	1.5124371952708389	0.8688869375555506	3.443584273419023	2.0000118169100323
RCC25-565	1.6285426553067313	1.1920579574282675	3.6818200072617953	2.5498974797089673
RCC25-166	2.382225541529667	2.6238112630981205	1.3923442820364604	2.9499110586962782
RCC25-108	1.58457311038582	0.8002615590604535	2.4019433721603405	1.3465255387096329
RCC25-257	1.6148380234465916	1.3849834338386742	2.0285011398258135	1.4949467695001961
RCC25-416	1.0193680458350476	1.9867968035414902	2.2300896179655574	2.894384284889735
RCC25-196	1.4006569002095255	0.9580333854347151	2.3038659243519137	1.3880897239124448
RCC25-122	2.18361417696447	2.5285627076371426	0.8186940397170128	2.823309757830919
RCC25-360	1.2799986224191238	1.781391523941464	1.9463016245146247	2.3924004343750376
RCC25-54	2.1662609888189728	2.037050169372691	2.3665373209014695	1.9552509093596568
RCC25-491	2.9145139027054476	2.359968760760577	4.46922597519021	3.2842895710261453
RCC25-8	1.8290832404648305	1.5275161648324205	1.753055563684628	1.492708181677476
RCC25-250	1.719799197919999	2.132363561209861	3.996758223743158	3.496540835933631
RCC25-396	2.8698409641141067	3.172476355667636	1.6523621150913654	2.994623653068619
RCC25-370	1.8025797981829348	2.1573818132654483	1.8793159221354896	2.4263877558285065
RCC25-533	2.2161824084818242	1.5827111730784567	2.284989500574426	1.0643867317639573
RCC25-555	2.781520882763393	2.653046940785907	2.4765832666310814	2.8549387790018836
RCC25-189	2.58519460791115	2.2869919910950816	1.5166524303553015	1.743562713942834
RCC25-253	1.6588489712957286	1.9515235432305373	1.056072610267772	2.3205224438439847
